# =============================== CORRECTION 2026-08-12 ===============================
# THE bMPS COLUMN IS NOT A FAIR METHOD COMPARISON. An earlier version of this file
# presented its plateau as a boundary-MPS limitation. That was wrong.
#
# It estimates m as a ratio of two GLOBAL partition functions (lnZ=108.9, Z ~ e^109), so
# it inherits floating-point accumulation in Z. Measured:
#   * INDEPENDENT of chi -- identical to 4 s.f. from chi=12 to chi=48;
#   * GROWS with system size -- 2.86e-12 at 11x11 (lnZ=108.9), 5.23e-12 at 13x13
#     (lnZ=152.8); ~120-150 x eps*lnZ in both cases;
#   * unchanged by maxiter=200 or tolerance=1e-14.
# That is accumulation, not truncation. bMPS is converging fine.
#
# CTM's magnetisation is a LOCAL ring contraction that never forms Z, so it does not
# accumulate. The CTM-vs-bMPS gap below therefore partly measures GLOBAL-vs-LOCAL
# ESTIMATOR NUMERICS, not truncation quality. Do NOT quote it as "bMPS saturates".
#
# A fair comparison needs bMPS on a local estimator too (path_contract /
# reduced_density_matrix off a BoundaryMPSCache). NOT YET DONE.
#
# The :cut vs :cycle comparison IS unaffected -- both use the same local ring.
# =====================================================================================
# Finite 10x10 RANDOM-BOND Ising (RBIM), free boundaries, bias field h=0.01.
# J_e = -1 with probability p=0.109, else +1. Nishimori line: exp(-2*beta)=p/(1-p).
# beta=1.0505 = the multicritical (Nishimori) point. Their Fig. 2 says 'critical
# temperature' without specifying; the Nishimori point is an INFERENCE -- confirm with them.
# Negative bonds force a COMPLEX sqrt of the Boltzmann matrix: this is the strongly
# non-Hermitian regime their draft picks the RBIM for.
# Magnetisation at site (4,4) (their '(3+1,3+1)'). Relative error |dm|/|m| vs exact.
# 5 disorder realisations (seeds 101-105); med/lo/hi = median/min/max over them.
chi,cut_med,cut_lo,cut_hi,cycle_med,cycle_lo,cycle_hi,bmps_med,bmps_lo,bmps_hi
1,7.943975e-01,5.875253e-01,1.482993e+00,7.983571e-01,5.828643e-01,1.480688e+00,9.377994e-01,7.840700e-01,3.355389e+01
2,6.521289e-02,7.998560e-03,4.118562e-01,1.283699e-02,6.039759e-03,7.124878e-02,1.712106e-01,7.732948e-02,3.270005e-01
3,4.516155e-02,2.176372e-02,1.435290e-01,1.290645e-03,4.858414e-04,9.028897e-03,4.831980e-02,2.585121e-02,1.623543e-01
4,8.778337e-05,6.888792e-06,6.476333e-04,3.661656e-07,2.501957e-08,8.700326e-07,6.648142e-06,8.712886e-08,3.256645e-05
5,1.187604e-04,9.900479e-08,4.354939e-04,8.261507e-08,3.393752e-08,1.665492e-06,6.538151e-06,3.544426e-07,2.084551e-05
6,2.078412e-08,5.667943e-09,2.860816e-07,9.290040e-11,1.042601e-12,3.439761e-08,3.349640e-08,7.460570e-09,2.350423e-07
7,1.788155e-08,2.382773e-10,5.904250e-08,8.738508e-12,5.158071e-14,4.454312e-11,2.517913e-08,2.011873e-09,3.403571e-07
8,2.151206e-10,1.263693e-11,3.775828e-09,3.033869e-14,1.729358e-14,3.466297e-13,2.860493e-10,6.106416e-13,5.490266e-10
9,7.578903e-11,1.291461e-11,1.156697e-10,1.076714e-13,2.544340e-15,2.069696e-12,1.823667e-10,6.399015e-13,2.428591e-10
10,7.931980e-13,9.879206e-14,5.216738e-12,3.261381e-14,4.412901e-15,5.048930e-14,9.163450e-12,4.969559e-13,1.459453e-10
11,1.417939e-13,8.095628e-15,1.120739e-12,3.351046e-14,1.156518e-16,3.915903e-14,1.084388e-11,5.252906e-13,1.462011e-10
12,1.490826e-14,5.204332e-15,7.151657e-13,2.013386e-14,7.805172e-15,4.551988e-14,1.351354e-11,5.252906e-13,1.462011e-10
13,1.329996e-14,6.360857e-15,7.638455e-13,8.963704e-15,3.001989e-15,4.061343e-14,1.351354e-11,5.252906e-13,1.462011e-10
14,2.463384e-14,2.801857e-15,5.470618e-13,1.676951e-14,4.002653e-16,4.396846e-14,1.351354e-11,5.252906e-13,1.462011e-10
15,5.666939e-15,1.590214e-15,1.318216e-12,1.570337e-14,9.806499e-15,2.789966e-14,1.351354e-11,5.252906e-13,1.462011e-10
16,1.422517e-14,2.801857e-15,4.290898e-14,2.035472e-14,1.601061e-15,5.088626e-14,1.351354e-11,5.252906e-13,1.462011e-10
