method,chi,beta,temperature,n_sites,peps_bond_dimension,d_beta,trotter_steps,lnZ,reduced_free_energy_density,free_energy_density,abs_error_lnZ,rel_error_lnZ,delta_from_previous_chi,marginal_inconsistency,solver_converged,wall_seconds,max_gate_error,accumulated_log_scale,reference_method,reference_chi,reference_lnZ
bMPS,2,0.2,5.0,16,3,0.02,5,11.141178225586689,-0.6963236390991681,-3.48161819549584,2.4106881824081938e-8,2.1637641265406537e-9,NaN,NaN,true,6.4667103,2.728690176314373e-5,11.141178137237437,bMPS,32,11.14117824969357
bMPS,4,0.2,5.0,16,3,0.02,5,11.14117824969357,-0.6963236406058482,-3.4816182030292406,0.0,0.0,2.4106881824081938e-8,NaN,true,0.9205882,2.728690176314373e-5,11.141178137237437,bMPS,32,11.14117824969357
bMPS,6,0.2,5.0,16,3,0.02,5,11.141178249693573,-0.6963236406058483,-3.481618203029241,1.7763568394002505e-15,1.594406623418944e-16,1.7763568394002505e-15,NaN,true,0.0528094,2.728690176314373e-5,11.141178137237437,bMPS,32,11.14117824969357
bMPS,8,0.2,5.0,16,3,0.02,5,11.141178249693573,-0.6963236406058483,-3.481618203029241,1.7763568394002505e-15,1.594406623418944e-16,0.0,NaN,true,0.0460624,2.728690176314373e-5,11.141178137237437,bMPS,32,11.14117824969357
bMPS,12,0.2,5.0,16,3,0.02,5,11.14117824969357,-0.6963236406058482,-3.4816182030292406,0.0,0.0,1.7763568394002505e-15,NaN,true,0.0417476,2.728690176314373e-5,11.141178137237437,bMPS,32,11.14117824969357
bMPS,16,0.2,5.0,16,3,0.02,5,11.14117824969357,-0.6963236406058482,-3.4816182030292406,0.0,0.0,0.0,NaN,true,0.0455647,2.728690176314373e-5,11.141178137237437,bMPS,32,11.14117824969357
svd-CTMRG,2,0.2,5.0,16,3,0.02,5,11.141178193466176,-0.696323637091636,-3.48161818545818,5.622739429611556e-8,5.046808608206412e-9,NaN,1.3100631690576846e-16,true,24.000271,2.728690176314373e-5,11.141178137237437,bMPS,32,11.14117824969357
svd-CTMRG,4,0.2,5.0,16,3,0.02,5,11.141178249693573,-0.6963236406058483,-3.481618203029241,1.7763568394002505e-15,1.594406623418944e-16,5.62273960724724e-8,4.884981308350689e-17,true,2.0880697,2.728690176314373e-5,11.141178137237437,bMPS,32,11.14117824969357
svd-CTMRG,6,0.2,5.0,16,3,0.02,5,11.141178249693573,-0.6963236406058483,-3.481618203029241,1.7763568394002505e-15,1.594406623418944e-16,0.0,3.9968028886505634e-17,false,3.4587993,2.728690176314373e-5,11.141178137237437,bMPS,32,11.14117824969357
svd-CTMRG,8,0.2,5.0,16,3,0.02,5,11.141178249693574,-0.6963236406058484,-3.481618203029242,3.552713678800501e-15,3.188813246837888e-16,1.7763568394002505e-15,4.884981308350689e-17,false,1.1236407,2.728690176314373e-5,11.141178137237437,bMPS,32,11.14117824969357
svd-CTMRG,12,0.2,5.0,16,3,0.02,5,11.14117824969357,-0.6963236406058482,-3.4816182030292406,0.0,0.0,3.552713678800501e-15,5.329070518200751e-17,true,0.1940464,2.728690176314373e-5,11.141178137237437,bMPS,32,11.14117824969357
svd-CTMRG,16,0.2,5.0,16,3,0.02,5,11.14117824969357,-0.6963236406058482,-3.4816182030292406,0.0,0.0,0.0,8.43769498715119e-17,true,0.1574227,2.728690176314373e-5,11.141178137237437,bMPS,32,11.14117824969357
eig-CTMRG,2,0.2,5.0,16,3,0.02,5,11.141178184208515,-0.6963236365130322,-3.481618182565161,6.548505560033391e-8,5.877749564067429e-9,NaN,1.6830981053317373e-15,true,0.7537284,2.728690176314373e-5,11.141178137237437,bMPS,32,11.14117824969357
eig-CTMRG,4,0.2,5.0,16,3,0.02,5,11.141178249693573,-0.6963236406058483,-3.481618203029241,1.7763568394002505e-15,1.594406623418944e-16,6.548505737669075e-8,5.329070518200751e-17,true,0.0752305,2.728690176314373e-5,11.141178137237437,bMPS,32,11.14117824969357
eig-CTMRG,6,0.2,5.0,16,3,0.02,5,11.141178249693574,-0.6963236406058484,-3.481618203029242,3.552713678800501e-15,3.188813246837888e-16,1.7763568394002505e-15,3.552713678800501e-17,true,0.0867612,2.728690176314373e-5,11.141178137237437,bMPS,32,11.14117824969357
eig-CTMRG,8,0.2,5.0,16,3,0.02,5,11.141178249693574,-0.6963236406058484,-3.481618203029242,3.552713678800501e-15,3.188813246837888e-16,0.0,6.661338147750939e-17,true,0.1191322,2.728690176314373e-5,11.141178137237437,bMPS,32,11.14117824969357
eig-CTMRG,12,0.2,5.0,16,3,0.02,5,11.141178249693573,-0.6963236406058483,-3.481618203029241,1.7763568394002505e-15,1.594406623418944e-16,1.7763568394002505e-15,2.6645352591003756e-17,true,0.3401446,2.728690176314373e-5,11.141178137237437,bMPS,32,11.14117824969357
eig-CTMRG,16,0.2,5.0,16,3,0.02,5,11.141178249693573,-0.6963236406058483,-3.481618203029241,1.7763568394002505e-15,1.594406623418944e-16,0.0,6.661338147750939e-17,true,0.141853,2.728690176314373e-5,11.141178137237437,bMPS,32,11.14117824969357
